"REF_DATE","GEO","DGUID","Indicator","Industry","Authority","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Quebec","2016A000224","Gross value added","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809108","7.5.1.2.0.0.0.0.0.0","15","","","","0"
"1961","Quebec","2016A000224","Gross value added","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809143","7.5.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Gross value added","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809144","7.5.2.2.0.0.0.0.0.0","7","","","","0"
"1961","Ontario","2016A000235","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808821","8.1.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Ontario","2016A000235","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808822","8.1.1.2.0.0.0.0.0.0","13","","","","0"
"1961","Ontario","2016A000235","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808857","8.1.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Ontario","2016A000235","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808858","8.1.2.2.0.0.0.0.0.0","18","","","","0"
"1961","Ontario","2016A000235","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808893","8.2.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Ontario","2016A000235","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808894","8.2.1.2.0.0.0.0.0.0","13","","","","0"
"1961","Ontario","2016A000235","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808929","8.2.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Ontario","2016A000235","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808930","8.2.2.2.0.0.0.0.0.0","18","","","","0"
"1961","Ontario","2016A000235","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808965","8.3.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Ontario","2016A000235","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808966","8.3.1.2.0.0.0.0.0.0","0","","","","0"
